Process_all,Process_name,Region,General_information,Unit,count_excel,Process_info_withoutregion,count_all_excel
"nuclear fuel element, for pressure water reactor, UO2 4.0% & MOX//[GLO] market for nuclear fuel element, for pressure water reactor, UO2 4.0% & MOX","nuclear fuel element, for pressure water reactor, UO2 4.0% & MOX",[GLO],"market for nuclear fuel element, for pressure water reactor, UO2 4.0% & MOX",kg,3,"nuclear fuel element, for pressure water reactor, UO2 4.0% & MOX_market for nuclear fuel element, for pressure water reactor, UO2 4.0% & MOX",1
"nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX//[GLO] market for nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX","nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX",[GLO],"market for nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX",kg,3,"nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX_market for nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX",1
"nuclear fuel element, for pressure water reactor, UO2 4.2% centrifuge & MOX//[GLO] market for nuclear fuel element, for pressure water reactor, UO2 4.2% centrifuge & MOX","nuclear fuel element, for pressure water reactor, UO2 4.2% centrifuge & MOX",[GLO],"market for nuclear fuel element, for pressure water reactor, UO2 4.2% centrifuge & MOX",kg,3,"nuclear fuel element, for pressure water reactor, UO2 4.2% centrifuge & MOX_market for nuclear fuel element, for pressure water reactor, UO2 4.2% centrifuge & MOX",1
nuclear fuel factory//[GLO] market for nuclear fuel factory,nuclear fuel factory,[GLO],market for nuclear fuel factory,unit,4,nuclear fuel factory_market for nuclear fuel factory,1
"nuclear power plant, boiling water reactor 1000MW//[GLO] market for nuclear power plant, boiling water reactor 1000MW","nuclear power plant, boiling water reactor 1000MW",[GLO],"market for nuclear power plant, boiling water reactor 1000MW",unit,5,"nuclear power plant, boiling water reactor 1000MW_market for nuclear power plant, boiling water reactor 1000MW",1
"nuclear power plant, pressure water reactor 1000MW//[GLO] market for nuclear power plant, pressure water reactor 1000MW","nuclear power plant, pressure water reactor 1000MW",[GLO],"market for nuclear power plant, pressure water reactor 1000MW",unit,7,"nuclear power plant, pressure water reactor 1000MW_market for nuclear power plant, pressure water reactor 1000MW",1
"nuclear power plant, pressure water reactor, 650MW//[GLO] market for nuclear power plant, pressure water reactor 650MW","nuclear power plant, pressure water reactor, 650MW",[GLO],"market for nuclear power plant, pressure water reactor 650MW",unit,3,"nuclear power plant, pressure water reactor, 650MW_market for nuclear power plant, pressure water reactor 650MW",1
nuclear spent fuel conditioning facility//[GLO] market for nuclear spent fuel conditioning facility,nuclear spent fuel conditioning facility,[GLO],market for nuclear spent fuel conditioning facility,unit,4,nuclear spent fuel conditioning facility_market for nuclear spent fuel conditioning facility,1
nuclear spent fuel reprocessing facility//[GLO] market for nuclear spent fuel reprocessing facility,nuclear spent fuel reprocessing facility,[GLO],market for nuclear spent fuel reprocessing facility,unit,3,nuclear spent fuel reprocessing facility_market for nuclear spent fuel reprocessing facility,1
"nuclear waste storage, final repository for high level radioactive waste//[GLO] market for nuclear waste storage, final repository for high level radioactive waste","nuclear waste storage, final repository for high level radioactive waste",[GLO],"market for nuclear waste storage, final repository for high level radioactive waste",unit,3,"nuclear waste storage, final repository for high level radioactive waste_market for nuclear waste storage, final repository for high level radioactive waste",1
"nuclear waste storage, final repository for low level radioactive waste//[GLO] market for nuclear waste storage, final repository for low level radioactive waste","nuclear waste storage, final repository for low level radioactive waste",[GLO],"market for nuclear waste storage, final repository for low level radioactive waste",unit,3,"nuclear waste storage, final repository for low level radioactive waste_market for nuclear waste storage, final repository for low level radioactive waste",1
"nuclear waste storage, interim, for high level radioactive waste before final repository//[GLO] market for nuclear waste storage, interim, for high level radioactive waste before final repository","nuclear waste storage, interim, for high level radioactive waste before final repository",[GLO],"market for nuclear waste storage, interim, for high level radioactive waste before final repository",unit,3,"nuclear waste storage, interim, for high level radioactive waste before final repository_market for nuclear waste storage, interim, for high level radioactive waste before final repository",1
"nuclear waste storage, interim, for low level radioactive waste before final repository//[GLO] market for nuclear waste storage, interim, for low level radioactive waste before final repository","nuclear waste storage, interim, for low level radioactive waste before final repository",[GLO],"market for nuclear waste storage, interim, for low level radioactive waste before final repository",unit,3,"nuclear waste storage, interim, for low level radioactive waste before final repository_market for nuclear waste storage, interim, for low level radioactive waste before final repository",1
"nylon 6, glass-filled//[GLO] market for nylon 6, glass-filled","nylon 6, glass-filled",[GLO],"market for nylon 6, glass-filled",kg,3,"nylon 6, glass-filled_market for nylon 6, glass-filled",1
nylon 6//[GLO] market for nylon 6,nylon 6,[GLO],market for nylon 6,kg,3,nylon 6_market for nylon 6,1
"nylon 6-6, glass-filled//[GLO] market for nylon 6-6, glass-filled","nylon 6-6, glass-filled",[GLO],"market for nylon 6-6, glass-filled",kg,3,"nylon 6-6, glass-filled_market for nylon 6-6, glass-filled",1
nylon 6-6//[GLO] market for nylon 6-6,nylon 6-6,[GLO],market for nylon 6-6,kg,3,nylon 6-6_market for nylon 6-6,1
o-aminophenol//[GLO] market for o-aminophenol,o-aminophenol,[GLO],market for o-aminophenol,kg,3,o-aminophenol_market for o-aminophenol,1
o-chlorobenzaldehyde//[GLO] market for o-chlorobenzaldehyde,o-chlorobenzaldehyde,[GLO],market for o-chlorobenzaldehyde,kg,3,o-chlorobenzaldehyde_market for o-chlorobenzaldehyde,1
o-chlorotoluene//[GLO] market for o-chlorotoluene,o-chlorotoluene,[GLO],market for o-chlorotoluene,kg,3,o-chlorotoluene_market for o-chlorotoluene,1
o-cresol//[GLO] market for o-cresol,o-cresol,[GLO],market for o-cresol,kg,3,o-cresol_market for o-cresol,1
o-dichlorobenzene//[GLO] market for o-dichlorobenzene,o-dichlorobenzene,[GLO],market for o-dichlorobenzene,kg,3,o-dichlorobenzene_market for o-dichlorobenzene,1
"offshore platform, natural gas//[GLO] market for offshore platform, natural gas","offshore platform, natural gas",[GLO],"market for offshore platform, natural gas",unit,2,"offshore platform, natural gas_market for offshore platform, natural gas",1
"offshore platform, petroleum//[GLO] market for offshore platform, petroleum","offshore platform, petroleum",[GLO],"market for offshore platform, petroleum",unit,2,"offshore platform, petroleum_market for offshore platform, petroleum",1
"offshore well, oil/gas//[GLO] market for offshore well, oil/gas","offshore well, oil/gas",[GLO],"market for offshore well, oil/gas",m,2,"offshore well, oil/gas_market for offshore well, oil/gas",1
"oil boiler, 100kW//[GLO] market for oil boiler, 100kW","oil boiler, 100kW",[GLO],"market for oil boiler, 100kW",unit,3,"oil boiler, 100kW_market for oil boiler, 100kW",1
"oil boiler, 10kW//[GLO] market for oil boiler, 10kW","oil boiler, 10kW",[GLO],"market for oil boiler, 10kW",unit,3,"oil boiler, 10kW_market for oil boiler, 10kW",1
oil mill//[GLO] market for oil mill,oil mill,[GLO],market for oil mill,unit,3,oil mill_market for oil mill,1
"oil power plant, 500MW//[GLO] market for oil power plant, 500MW","oil power plant, 500MW",[GLO],"market for oil power plant, 500MW",unit,3,"oil power plant, 500MW_market for oil power plant, 500MW",1
"oil storage, 3000l//[GLO] market for oil storage, 3000l","oil storage, 3000l",[GLO],"market for oil storage, 3000l",unit,3,"oil storage, 3000l_market for oil storage, 3000l",1
onion//[GLO] market for onion,onion,[GLO],market for onion,kg,2,onion_market for onion,1
o-nitrophenol//[GLO] market for o-nitrophenol,o-nitrophenol,[GLO],market for o-nitrophenol,kg,3,o-nitrophenol_market for o-nitrophenol,1
onshore natural gas field infrastructure//[GLO] market for onshore natural gas field infrastructure,onshore natural gas field infrastructure,[GLO],market for onshore natural gas field infrastructure,unit,2,onshore natural gas field infrastructure_market for onshore natural gas field infrastructure,1
onshore petroleum field infrastructure//[GLO] market for onshore petroleum field infrastructure,onshore petroleum field infrastructure,[GLO],market for onshore petroleum field infrastructure,unit,2,onshore petroleum field infrastructure_market for onshore petroleum field infrastructure,1
"onshore well, oil/gas//[GLO] market for onshore well, oil/gas","onshore well, oil/gas",[GLO],"market for onshore well, oil/gas",m,2,"onshore well, oil/gas_market for onshore well, oil/gas",1
"operation, computer, desktop, home use//[GLO] market for operation, computer, desktop, home use","operation, computer, desktop, home use",[GLO],"market for operation, computer, desktop, home use",hour,9,"operation, computer, desktop, home use_market for operation, computer, desktop, home use",1
"operation, computer, desktop, office use//[GLO] market for operation, computer, desktop, office use","operation, computer, desktop, office use",[GLO],"market for operation, computer, desktop, office use",hour,9,"operation, computer, desktop, office use_market for operation, computer, desktop, office use",1
"operation, computer, desktop, with cathode ray tube display, active mode//[GLO] market for operation, computer, desktop, with cathode ray tube display, active mode","operation, computer, desktop, with cathode ray tube display, active mode",[GLO],"market for operation, computer, desktop, with cathode ray tube display, active mode",hour,5,"operation, computer, desktop, with cathode ray tube display, active mode_market for operation, computer, desktop, with cathode ray tube display, active mode",1
"operation, computer, desktop, with cathode ray tube display, off mode//[GLO] market for operation, computer, desktop, with cathode ray tube display, off mode","operation, computer, desktop, with cathode ray tube display, off mode",[GLO],"market for operation, computer, desktop, with cathode ray tube display, off mode",hour,5,"operation, computer, desktop, with cathode ray tube display, off mode_market for operation, computer, desktop, with cathode ray tube display, off mode",1
"operation, computer, desktop, with cathode ray tube display, standby mode//[GLO] market for operation, computer, desktop, with cathode ray tube display, standby mode","operation, computer, desktop, with cathode ray tube display, standby mode",[GLO],"market for operation, computer, desktop, with cathode ray tube display, standby mode",hour,5,"operation, computer, desktop, with cathode ray tube display, standby mode_market for operation, computer, desktop, with cathode ray tube display, standby mode",1
"operation, computer, desktop, with liquid crystal display, active mode//[GLO] market for operation, computer, desktop, with liquid crystal display, active mode","operation, computer, desktop, with liquid crystal display, active mode",[GLO],"market for operation, computer, desktop, with liquid crystal display, active mode",hour,5,"operation, computer, desktop, with liquid crystal display, active mode_market for operation, computer, desktop, with liquid crystal display, active mode",1
"operation, computer, desktop, with liquid crystal display, off mode//[GLO] market for operation, computer, desktop, with liquid crystal display, off mode","operation, computer, desktop, with liquid crystal display, off mode",[GLO],"market for operation, computer, desktop, with liquid crystal display, off mode",hour,5,"operation, computer, desktop, with liquid crystal display, off mode_market for operation, computer, desktop, with liquid crystal display, off mode",1
"operation, computer, desktop, with liquid crystal display, standby mode//[GLO] market for operation, computer, desktop, with liquid crystal display, standby mode","operation, computer, desktop, with liquid crystal display, standby mode",[GLO],"market for operation, computer, desktop, with liquid crystal display, standby mode",hour,5,"operation, computer, desktop, with liquid crystal display, standby mode_market for operation, computer, desktop, with liquid crystal display, standby mode",1
"operation, computer, laptop, 23% active work//[GLO] market for operation, computer, laptop, 23% active work","operation, computer, laptop, 23% active work",[GLO],"market for operation, computer, laptop, 23% active work",hour,5,"operation, computer, laptop, 23% active work_market for operation, computer, laptop, 23% active work",1
"operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s, label-certified electricity//[GLO] market for operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s, label-certified electricity","operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s, label-certified electricity",[GLO],"market for operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s, label-certified electricity",hour,2,"operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s, label-certified electricity_market for operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s, label-certified electricity",1
"operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s//[GLO] market for operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s","operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s",[GLO],"market for operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s",hour,4,"operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s_market for operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s",1
"operation, computer, laptop, 68% active work, label-certified electricity//[GLO] market for operation, computer, laptop, 68% active work, label-certified electricity","operation, computer, laptop, 68% active work, label-certified electricity",[GLO],"market for operation, computer, laptop, 68% active work, label-certified electricity",hour,2,"operation, computer, laptop, 68% active work, label-certified electricity_market for operation, computer, laptop, 68% active work, label-certified electricity",1
"operation, computer, laptop, 68% active work//[GLO] market for operation, computer, laptop, 68% active work","operation, computer, laptop, 68% active work",[GLO],"market for operation, computer, laptop, 68% active work",hour,4,"operation, computer, laptop, 68% active work_market for operation, computer, laptop, 68% active work",1
"operation, computer, laptop, active mode//[GLO] market for operation, computer, laptop, active mode","operation, computer, laptop, active mode",[GLO],"market for operation, computer, laptop, active mode",hour,5,"operation, computer, laptop, active mode_market for operation, computer, laptop, active mode",1
"operation, computer, laptop, off mode//[GLO] market for operation, computer, laptop, off mode","operation, computer, laptop, off mode",[GLO],"market for operation, computer, laptop, off mode",hour,5,"operation, computer, laptop, off mode_market for operation, computer, laptop, off mode",1
"operation, computer, laptop, standby/sleep mode//[GLO] market for operation, computer, laptop, standby/sleep mode","operation, computer, laptop, standby/sleep mode",[GLO],"market for operation, computer, laptop, standby/sleep mode",hour,5,"operation, computer, laptop, standby/sleep mode_market for operation, computer, laptop, standby/sleep mode",1
"operation, computer, laptop, video mode, label-certified electricity//[GLO] market for operation, computer, laptop, video mode, label-certified electricity","operation, computer, laptop, video mode, label-certified electricity",[GLO],"market for operation, computer, laptop, video mode, label-certified electricity",hour,2,"operation, computer, laptop, video mode, label-certified electricity_market for operation, computer, laptop, video mode, label-certified electricity",1
"operation, computer, laptop, video mode//[GLO] market for operation, computer, laptop, video mode","operation, computer, laptop, video mode",[GLO],"market for operation, computer, laptop, video mode",hour,4,"operation, computer, laptop, video mode_market for operation, computer, laptop, video mode",1
"operation, computer, laptop, videoconference, label-certified electricity//[GLO] market for operation, computer, laptop, videoconference, label-certified electricity","operation, computer, laptop, videoconference, label-certified electricity",[GLO],"market for operation, computer, laptop, videoconference, label-certified electricity",hour,2,"operation, computer, laptop, videoconference, label-certified electricity_market for operation, computer, laptop, videoconference, label-certified electricity",1
"operation, computer, laptop, videoconference//[GLO] market for operation, computer, laptop, videoconference","operation, computer, laptop, videoconference",[GLO],"market for operation, computer, laptop, videoconference",hour,4,"operation, computer, laptop, videoconference_market for operation, computer, laptop, videoconference",1
"operation, dried roughage store, air dried, solar//[GLO] market for operation, dried roughage store, air dried, solar","operation, dried roughage store, air dried, solar",[GLO],"market for operation, dried roughage store, air dried, solar",kg,4,"operation, dried roughage store, air dried, solar_market for operation, dried roughage store, air dried, solar",1
"operation, dried roughage store, cold-air dried, conventional//[GLO] market for operation, dried roughage store, cold-air dried, conventional","operation, dried roughage store, cold-air dried, conventional",[GLO],"market for operation, dried roughage store, cold-air dried, conventional",kg,4,"operation, dried roughage store, cold-air dried, conventional_market for operation, dried roughage store, cold-air dried, conventional",1
"operation, dried roughage store, non ventilated//[GLO] market for operation, dried roughage store, non ventilated","operation, dried roughage store, non ventilated",[GLO],"market for operation, dried roughage store, non ventilated",kg,4,"operation, dried roughage store, non ventilated_market for operation, dried roughage store, non ventilated",1
"operation, housing system, cattle, loose, per animal unit//[GLO] market for operation, housing system, cattle, loose, per animal unit","operation, housing system, cattle, loose, per animal unit",[GLO],"market for operation, housing system, cattle, loose, per animal unit",unit,4,"operation, housing system, cattle, loose, per animal unit_market for operation, housing system, cattle, loose, per animal unit",1
"operation, housing system, cattle, tied, per animal unit//[GLO] market for operation, housing system, cattle, tied, per animal unit","operation, housing system, cattle, tied, per animal unit",[GLO],"market for operation, housing system, cattle, tied, per animal unit",unit,4,"operation, housing system, cattle, tied, per animal unit_market for operation, housing system, cattle, tied, per animal unit",1
"operation, housing system, pig, fully-slatted floor, per pig place//[GLO] market for operation, housing system, pig, fully-slatted floor, per pig place","operation, housing system, pig, fully-slatted floor, per pig place",[GLO],"market for operation, housing system, pig, fully-slatted floor, per pig place",unit,4,"operation, housing system, pig, fully-slatted floor, per pig place_market for operation, housing system, pig, fully-slatted floor, per pig place",1
"operation, housing system, pig, label-certified, per pig place//[GLO] market for operation, housing system, pig, label-certified, per pig place","operation, housing system, pig, label-certified, per pig place",[GLO],"market for operation, housing system, pig, label-certified, per pig place",unit,4,"operation, housing system, pig, label-certified, per pig place_market for operation, housing system, pig, label-certified, per pig place",1
"operation, internet access equipment, label-certified electricity//[GLO] market for operation, internet access equipment, label-certified electricity","operation, internet access equipment, label-certified electricity",[GLO],"market for operation, internet access equipment, label-certified electricity",hour,2,"operation, internet access equipment, label-certified electricity_market for operation, internet access equipment, label-certified electricity",1
"operation, internet access equipment//[GLO] market for operation, internet access equipment","operation, internet access equipment",[GLO],"market for operation, internet access equipment",hour,2,"operation, internet access equipment_market for operation, internet access equipment",1
"operation, liquid manure storage and processing facility//[GLO] market for operation, liquid manure storage and processing facility","operation, liquid manure storage and processing facility",[GLO],"market for operation, liquid manure storage and processing facility",m3,4,"operation, liquid manure storage and processing facility_market for operation, liquid manure storage and processing facility",1
"optical brighteners, for paper production//[GLO] market for optical brighteners, for paper production","optical brighteners, for paper production",[GLO],"market for optical brighteners, for paper production",kg,3,"optical brighteners, for paper production_market for optical brighteners, for paper production",1
orbencarb//[GLO] market for orbencarb,orbencarb,[GLO],market for orbencarb,kg,3,orbencarb_market for orbencarb,1
"organophosphorus-compound, unspecified//[GLO] market for organophosphorus-compound, unspecified","organophosphorus-compound, unspecified",[GLO],"market for organophosphorus-compound, unspecified",kg,3,"organophosphorus-compound, unspecified_market for organophosphorus-compound, unspecified",1
oriented strand board//[GLO] market for oriented strand board,oriented strand board,[GLO],market for oriented strand board,m3,4,oriented strand board_market for oriented strand board,1
ortho-phenylene diamine//[GLO] market for ortho-phenylene diamine,ortho-phenylene diamine,[GLO],market for ortho-phenylene diamine,kg,3,ortho-phenylene diamine_market for ortho-phenylene diamine,1
"outside air intake, stainless steel, DN 370//[GLO] market for outside air intake, stainless steel, DN 370","outside air intake, stainless steel, DN 370",[GLO],"market for outside air intake, stainless steel, DN 370",unit,3,"outside air intake, stainless steel, DN 370_market for outside air intake, stainless steel, DN 370",1
"oxygen, liquid//[RER] market for oxygen, liquid","oxygen, liquid",[RER],"market for oxygen, liquid",kg,5,"oxygen, liquid_market for oxygen, liquid",2
"ozone, liquid//[RER] market for ozone, liquid","ozone, liquid",[RER],"market for ozone, liquid",kg,4,"ozone, liquid_market for ozone, liquid",2
packaging box factory//[GLO] market for packaging box factory,packaging box factory,[GLO],market for packaging box factory,unit,3,packaging box factory_market for packaging box factory,1
"packaging film, low density polyethylene//[GLO] market for packaging film, low density polyethylene","packaging film, low density polyethylene",[GLO],"market for packaging film, low density polyethylene",kg,3,"packaging film, low density polyethylene_market for packaging film, low density polyethylene",1
packaging glass factory//[GLO] market for packaging glass factory,packaging glass factory,[GLO],market for packaging glass factory,unit,3,packaging glass factory_market for packaging glass factory,1
packaging glass sorting facility//[GLO] market for packaging glass sorting facility,packaging glass sorting facility,[GLO],market for packaging glass sorting facility,unit,3,packaging glass sorting facility_market for packaging glass sorting facility,1
"packaging glass, brown//[GLO] market for packaging glass, brown","packaging glass, brown",[GLO],"market for packaging glass, brown",kg,6,"packaging glass, brown_market for packaging glass, brown",1
"packaging glass, green//[GLO] market for packaging glass, green","packaging glass, green",[GLO],"market for packaging glass, green",kg,6,"packaging glass, green_market for packaging glass, green",1
"packaging glass, white//[GLO] market for packaging glass, white","packaging glass, white",[GLO],"market for packaging glass, white",kg,6,"packaging glass, white_market for packaging glass, white",1
"packing, cement//[GLO] market for packing, cement","packing, cement",[GLO],"market for packing, cement",kg,3,"packing, cement_market for packing, cement",1
"packing, clay product//[GLO] market for packing, clay product","packing, clay product",[GLO],"market for packing, clay product",kg,3,"packing, clay product_market for packing, clay product",1
"packing, fibre cement product//[GLO] market for packing, fibre cement product","packing, fibre cement product",[GLO],"market for packing, fibre cement product",kg,3,"packing, fibre cement product_market for packing, fibre cement product",1
"packing, lime product//[GLO] market for packing, lime product","packing, lime product",[GLO],"market for packing, lime product",kg,3,"packing, lime product_market for packing, lime product",1
palladium//[GLO] market for palladium,palladium,[GLO],market for palladium,kg,7,palladium_market for palladium,1
palm fruit bunch//[GLO] market for palm fruit bunch,palm fruit bunch,[GLO],market for palm fruit bunch,kg,5,palm fruit bunch_market for palm fruit bunch,1
palm kernel meal//[GLO] market for palm kernel meal,palm kernel meal,[GLO],market for palm kernel meal,kg,2,palm kernel meal_market for palm kernel meal,1
"palm kernel oil, crude//[GLO] market for palm kernel oil, crude","palm kernel oil, crude",[GLO],"market for palm kernel oil, crude",kg,3,"palm kernel oil, crude_market for palm kernel oil, crude",1
"palm oil, crude//[GLO] market for palm oil, crude","palm oil, crude",[GLO],"market for palm oil, crude",kg,3,"palm oil, crude_market for palm oil, crude",1
"palm oil, refined//[GLO] market for palm oil, refined","palm oil, refined",[GLO],"market for palm oil, refined",kg,2,"palm oil, refined_market for palm oil, refined",1
"panel glass, for cathode ray tube display//[GLO] market for panel glass, for cathode ray tube display","panel glass, for cathode ray tube display",[GLO],"market for panel glass, for cathode ray tube display",kg,2,"panel glass, for cathode ray tube display_market for panel glass, for cathode ray tube display",1
papaya//[GLO] market for papaya,papaya,[GLO],market for papaya,kg,2,papaya_market for papaya,1
paper machine//[GLO] market for paper machine,paper machine,[GLO],market for paper machine,unit,3,paper machine_market for paper machine,1
"paper mill, integrated//[GLO] market for paper mill, integrated","paper mill, integrated",[GLO],"market for paper mill, integrated",unit,3,"paper mill, integrated_market for paper mill, integrated",1
"paper mill, non-integrated//[GLO] market for paper mill, non-integrated","paper mill, non-integrated",[GLO],"market for paper mill, non-integrated",unit,3,"paper mill, non-integrated_market for paper mill, non-integrated",1
"paper, melamine impregnated//[GLO] market for paper, melamine impregnated","paper, melamine impregnated",[GLO],"market for paper, melamine impregnated",kg,3,"paper, melamine impregnated_market for paper, melamine impregnated",1
"paper, newsprint//[RER] market for paper, newsprint","paper, newsprint",[RER],"market for paper, newsprint",kg,8,"paper, newsprint_market for paper, newsprint",2
"paper, woodcontaining, lightweight coated//[RER] market for paper, woodcontaining, lightweight coated","paper, woodcontaining, lightweight coated",[RER],"market for paper, woodcontaining, lightweight coated",kg,5,"paper, woodcontaining, lightweight coated_market for paper, woodcontaining, lightweight coated",2
"paper, woodcontaining, supercalendred//[RER] market for paper, woodcontaining, supercalendred","paper, woodcontaining, supercalendred",[RER],"market for paper, woodcontaining, supercalendred",kg,5,"paper, woodcontaining, supercalendred_market for paper, woodcontaining, supercalendred",2
"paper, woodfree, coated//[RER] market for paper, woodfree, coated","paper, woodfree, coated",[RER],"market for paper, woodfree, coated",kg,6,"paper, woodfree, coated_market for paper, woodfree, coated",2
"paper, woodfree, uncoated//[RER] market for paper, woodfree, uncoated","paper, woodfree, uncoated",[RER],"market for paper, woodfree, uncoated",kg,12,"paper, woodfree, uncoated_market for paper, woodfree, uncoated",2
paraffin//[GLO] market for paraffin,paraffin,[GLO],market for paraffin,kg,3,paraffin_market for paraffin,1
para-phenylene diamine//[GLO] market for para-phenylene diamine,para-phenylene diamine,[GLO],market for para-phenylene diamine,kg,3,para-phenylene diamine_market for para-phenylene diamine,1
paris market carrot//[GLO] market for paris market carrot,paris market carrot,[GLO],market for paris market carrot,kg,2,paris market carrot_market for paris market carrot,1
"particle board, cement bonded//[GLO] market for particle board, cement bonded","particle board, cement bonded",[GLO],"market for particle board, cement bonded",m3,3,"particle board, cement bonded_market for particle board, cement bonded",1
"particle board, for indoor use//[GLO] market for particle board, for indoor use","particle board, for indoor use",[GLO],"market for particle board, for indoor use",m3,5,"particle board, for indoor use_market for particle board, for indoor use",1
"particle board, for outdoor use//[GLO] market for particle board, for outdoor use","particle board, for outdoor use",[GLO],"market for particle board, for outdoor use",m3,3,"particle board, for outdoor use_market for particle board, for outdoor use",1
"particleboard, uncoated//[GLO] market for particleboard, uncoated","particleboard, uncoated",[GLO],"market for particleboard, uncoated",m3,3,"particleboard, uncoated_market for particleboard, uncoated",1
passenger car maintenance//[GLO] market for passenger car maintenance,passenger car maintenance,[GLO],market for passenger car maintenance,unit,3,passenger car maintenance_market for passenger car maintenance,1
"passenger car, diesel//[GLO] market for passenger car, diesel","passenger car, diesel",[GLO],"market for passenger car, diesel",kg,2,"passenger car, diesel_market for passenger car, diesel",1
"passenger car, electric, without battery//[GLO] market for passenger car, electric, without battery","passenger car, electric, without battery",[GLO],"market for passenger car, electric, without battery",kg,2,"passenger car, electric, without battery_market for passenger car, electric, without battery",1
"passenger car, petrol/natural gas//[GLO] market for passenger car, petrol/natural gas","passenger car, petrol/natural gas",[GLO],"market for passenger car, petrol/natural gas",kg,2,"passenger car, petrol/natural gas_market for passenger car, petrol/natural gas",1
p-chlorophenol//[GLO] market for p-chlorophenol,p-chlorophenol,[GLO],market for p-chlorophenol,kg,3,p-chlorophenol_market for p-chlorophenol,1
p-dichlorobenzene//[GLO] market for p-dichlorobenzene,p-dichlorobenzene,[GLO],market for p-dichlorobenzene,kg,3,p-dichlorobenzene_market for p-dichlorobenzene,1
"pea seed, for sowing//[GLO] market for pea seed, for sowing","pea seed, for sowing",[GLO],"market for pea seed, for sowing",kg,3,"pea seed, for sowing_market for pea seed, for sowing",1
"pea seed, organic, for sowing//[GLO] market for pea seed, organic, for sowing","pea seed, organic, for sowing",[GLO],"market for pea seed, organic, for sowing",kg,3,"pea seed, organic, for sowing_market for pea seed, organic, for sowing",1
pear//[GLO] market for pear,pear,[GLO],market for pear,kg,2,pear_market for pear,1
peat moss//[GLO] market for peat moss,peat moss,[GLO],market for peat moss,m3,3,peat moss_market for peat moss,1
peat//[GLO] market for peat,peat,[GLO],market for peat,kg,3,peat_market for peat,1
pendimethalin//[GLO] market for pendimethalin,pendimethalin,[GLO],market for pendimethalin,kg,3,pendimethalin_market for pendimethalin,1
pentaerythritol//[GLO] market for pentaerythritol,pentaerythritol,[GLO],market for pentaerythritol,kg,3,pentaerythritol_market for pentaerythritol,1
pentane//[GLO] market for pentane,pentane,[GLO],market for pentane,kg,5,pentane_market for pentane,1
perfluoropentane//[GLO] market for perfluoropentane,perfluoropentane,[GLO],market for perfluoropentane,kg,2,perfluoropentane_market for perfluoropentane,1
perlite//[GLO] market for perlite,perlite,[GLO],market for perlite,kg,3,perlite_market for perlite,1
"permanent magnet, for electric motor//[GLO] market for permanent magnet, electric passenger car motor","permanent magnet, for electric motor",[GLO],"market for permanent magnet, electric passenger car motor",kg,2,"permanent magnet, for electric motor_market for permanent magnet, electric passenger car motor",1
"pesticide, unspecified//[GLO] market for pesticide, unspecified","pesticide, unspecified",[GLO],"market for pesticide, unspecified",kg,4,"pesticide, unspecified_market for pesticide, unspecified",1
"petrol, 15% ETBE additive by volume, with ethanol from biomass//[GLO] market for petrol, 15% ETBE additive by volume, with ethanol from biomass","petrol, 15% ETBE additive by volume, with ethanol from biomass",[GLO],"market for petrol, 15% ETBE additive by volume, with ethanol from biomass",kg,3,"petrol, 15% ETBE additive by volume, with ethanol from biomass_market for petrol, 15% ETBE additive by volume, with ethanol from biomass",1
"petrol, 4% ETBE additive by volume, with ethanol from biomass//[GLO] market for petrol, 4% ETBE additive by volume, with ethanol from biomass","petrol, 4% ETBE additive by volume, with ethanol from biomass",[GLO],"market for petrol, 4% ETBE additive by volume, with ethanol from biomass",kg,3,"petrol, 4% ETBE additive by volume, with ethanol from biomass_market for petrol, 4% ETBE additive by volume, with ethanol from biomass",1
"petrol, 5% ethanol by volume from biomass//[GLO] market for petrol, 5% ethanol by volume from biomass","petrol, 5% ethanol by volume from biomass",[GLO],"market for petrol, 5% ethanol by volume from biomass",kg,2,"petrol, 5% ethanol by volume from biomass_market for petrol, 5% ethanol by volume from biomass",1
"petrol, two-stroke blend//[GLO] market for petrol, two-stroke blend","petrol, two-stroke blend",[GLO],"market for petrol, two-stroke blend",kg,4,"petrol, two-stroke blend_market for petrol, two-stroke blend",1
petroleum coke//[GLO] market for petroleum coke,petroleum coke,[GLO],market for petroleum coke,kg,3,petroleum coke_market for petroleum coke,1
